index,id,team_api_id,team_long_name,team_short_name
84,11749,8576,AC Ajaccio,AJA
134,20455,8564,AC Milan,ACM
268,42984,9865,Almeria,ALM
92,14800,8121,Angers,ANG
27,3459,9825,Arsenal,ARS
33,3465,10252,Aston Villa,AVL
124,20445,8524,Atalanta,ATA
267,42983,8315,Athletic Bilbao,BIL
269,42985,9906,Atletico Madrid,AMA
117,17397,8406,Augsburg,AUG
59,9469,8583,Auxerre,AUX
258,42974,8634,Barcelona,BAR
96,15551,8178,Bayer Leverkusen,LEV
94,15549,9823,Bayern Munich,BMU
36,3468,8655,Blackburn,BLB
135,20456,9857,Bologna,BOL
39,3471,8559,Bolton,BOL
61,9471,9827,Bordeaux,BOR
97,15552,9789,Borussia Dortmund,DOR
108,15563,9788,Borussia Moenchengladbach,GLA
57,8711,8678,Bournemouth,BOU
83,11008,8521,Brest,BRE
47,4234,8191,Burnley,BUR
62,9472,7819,Caen,CAE
126,20447,8529,Cagliari,CAG
55,7208,8344,Cardiff,CAR
155,25736,208931,Carpi,CAP
128,20449,8530,Catania,CAT
279,46019,9910,Celta Vigo,CEL
147,21974,9880,Cesena,CES
43,3475,8455,Chelsea,CHE
130,20451,8533,Chievo,CHI
282,47544,7869,Cordoba,COR
54,7193,9826,Crystal Palace,CRY
123,19849,8262,Darmstadt,DAR
255,42971,9783,Deportivo La Coruna,COR
86,11757,9836,Dijon,DIJ
281,47537,8372,Eibar,EIB
120,18623,9776,Eintracht Braunschweig,BRA
102,15557,9810,Eintracht Frankfurt,EFR
280,46780,10268,Elche,ELC
153,24980,8534,Empoli,EMP
265,42981,8558,Espanyol,ESP
35,3467,8668,Everton,EVE
85,11754,4087,Evian Thonon Gaillard,ETG
101,15556,8722,FC Cologne,FCK
132,20453,8535,Fiorentina,FIO
118,18006,8194,Fortuna Duesseldorf,FDU
112,16169,8358,Freiburg,FRE
154,25723,9891,Frosinone,FRO
42,3474,9879,Fulham,FUL
129,20450,10233,Genoa,GEN
262,42978,8305,Getafe,GET
93,14808,6391,GFC Ajaccio,GAJ
277,45262,7878,Granada,GRA
119,18011,8357,Greuther Fuerth,GRF
90,13275,9747,Guingamp,GUI
95,15550,9790,Hamburger SV,HAM
99,15554,9904,Hannover 96,HAN
103,15558,8177,Hertha Berlin,HBE
107,15562,8226,Hoffenheim,HOF
41,3473,8667,Hull,HUL
122,19848,8234,Ingolstadt,ING
139,20460,8636,Inter,INT
133,20454,9885,Juventus,JUV
115,16780,8350,Kaiserslautern,KAI
283,48290,8306,Las Palmas,LAS
127,20448,8543,Lazio,LAZ
141,20462,9888,Lecce,LEC
56,7953,8197,Leicester,LEI
79,10232,8588,Lens,LEN
275,44497,8581,Levante,LEV
72,9482,8639,Lille,LIL
30,3462,8650,Liverpool,LIV
145,21217,8537,Livorno,LIV
66,9476,8689,Lorient,LOR
67,9477,9748,Lyon,LYO
114,16175,9905,Mainz 05,MAI
270,42986,9864,Malaga,MAL
252,42968,8661,Mallorca,MAL
34,3466,8456,Manchester City,MCI
25,3457,10260,Manchester United,MUN
74,9484,8592,Marseille,MAR
91,14038,8550,Metz,MET
69,9479,9829,Monaco,MON
80,10241,10249,Montpellier,MON
71,9481,8481,Nancy,NAN
60,9470,9830,Nantes,NAN
26,3458,10261,Newcastle United,NEW
64,9474,9831,Nice,NIC
51,5756,9850,Norwich,NOR
149,22737,6269,Novara,NOV
113,16171,8165,Nuernberg,NUR
253,42969,8371,Osasuna,OSA
121,19237,8460,Paderborn,PAD
143,20464,8540,Palermo,PAL
70,9480,9847,Paris Saint Germain,PSG
146,21224,10167,Parma,PAR
150,23455,9878,Pescara,PES
50,5747,10172,Queens Park Rangers,QPR
259,42975,8696,Racing Santander,SAN
278,45265,8370,Rayo Vallecano,RAY
53,6441,9798,Reading,REA
263,42979,8603,Real Betis,BET
256,42972,8633,Real Madrid,REA
276,44501,8560,Real Sociedad,SOC
87,12519,9837,Reims,REI
73,9483,9851,Rennes,REN
125,20446,8551,Robur Siena,SIE
136,20457,8686,Roma,ROM
78,9488,9853,Saint-Etienne,ETI
138,20459,9882,Sampdoria,SAM
152,24220,7943,Sassuolo,SAS
88,12526,7794,SC Bastia,BAS
98,15553,10189,Schalke 04,S04
260,42976,8302,Sevilla,SEV
75,9485,9874,Sochaux,SOC
52,6436,8466,Southampton,SOU
261,42977,9869,Sporting Gijon,SPG
137,20458,9875,SSC Napoli,NAP
40,3472,10194,Stoke,STK
29,3461,8472,Sunderland,SUN
49,5744,10003,Swansea,SWA
140,20461,9804,Torino,TOR
38,3470,8586,Tottenham,TOT
68,9478,9941,Toulouse,TOU
89,12527,10242,Troyes,TRO
142,20463,8600,Udinese,UDI
251,42967,10267,Valencia,VAL
77,9487,9873,Valenciennes,VAL
266,42982,10281,Valladolid,VAL
151,24205,9876,Verona,VER
109,15564,10269,VfB Stuttgart,STU
254,42970,10205,Villarreal,VIL
58,8716,9817,Watford,WAT
105,15560,8697,Werder Bremen,WBR
28,3460,8659,West Bromwich Albion,WBA
31,3463,8654,West Ham,WHU
32,3464,8528,Wigan,WIG
100,15555,8721,Wolfsburg,WOL
46,4225,8602,Wolverhampton Wanderers,WOL
272,43735,8394,Zaragoza,ZAR
